Kode,Emiten,Tahun_IPO,Saham_Beredar,Papan_Pencatatan
BATA,Sepatu Bata Tbk.,1982,1300000000,Utama
BAUT,Mitra Angkasa Sejahtera Tbk.,2022,4800135289,Pemantauan Khusus
BAYU,Bayu Buana Tbk,1989,353220780,Pengembangan
BBCA,Bank Central Asia Tbk.,2000,122042299500,Utama
BBHI,Allo Bank Indonesia Tbk.,2015,21512953877,Utama
BBKP,Bank KB Bukopin Tbk.,2006,185819884852,Utama
BBLD,Buana Finance Tbk.,1990,1645796054,Pengembangan
BBMD,Bank Mestika Dharma Tbk.,2013,4049189100,Utama
BBNI,Bank Negara Indonesia (Persero,1996,36924339786,Utama
BBRI,Bank Rakyat Indonesia (Persero,2003,150043411587,Utama
BBRM,Pelayaran Nasional Bina Buana ,2013,8479490328,Utama
BBSI,Krom Bank Indonesia Tbk.,2020,3637976068,Pengembangan
BBSS,Bumi Benowo Sukses Sejahtera T,2020,4800016020,Pengembangan
BBTN,Bank Tabungan Negara (Persero),2009,13894099969,Utama
BBYB,Bank Neo Commerce Tbk.,2015,11918427523,Utama
BCAP,MNC Kapital Indonesia Tbk.,2001,42618850927,Utama
BCIC,Bank JTrust Indonesia Tbk.,1997,17926071041,Pengembangan
BCIP,Bumi Citra Permai Tbk.,2009,1429915525,Pengembangan
BDKR,Berdikari Pondasi Perkasa Tbk.,2023,4725101522,Pengembangan
BDMN,Bank Danamon Indonesia Tbk.,1989,9675817341,Utama
BEBS,Berkah Beton Sadaya Tbk.,2021,45000000000,Pengembangan
BEEF,Estika Tata Tiara Tbk.,2019,7031371419,Pengembangan
BEER,Jobubu Jarum Minahasa Tbk.,2023,4000000000,Pengembangan
BEKS,Bank Pembangunan Daerah Banten,2001,51351733883,Pemantauan Khusus
BELI,Global Digital Niaga Tbk.,2022,123210496616,Ekonomi Baru
BELL,Trisula Textile Industries Tbk,2017,7250000000,Pengembangan
BESS,Batulicin Nusantara Maritim Tb,2020,3440455528,Pengembangan
BEST,Bekasi Fajar Industrial Estate,2012,9647311150,Utama
BFIN,BFI Finance  Indonesia Tbk.,1990,15967115620,Utama
BGTG,Bank Ganesha Tbk.,2016,23731287132,Pengembangan
BHAT,Bhakti Multi Artha Tbk.,2020,5000000000,Pengembangan
BHIT,MNC Asia Holding Tbk.,1997,86068156705,Utama
BIKA,Binakarya Jaya Abadi Tbk.,2015,592280000,Pemantauan Khusus
BIKE,Sepeda Bersama Indonesia Tbk.,2022,1293916404,Pengembangan
BIMA,Primarindo Asia Infrastructure,1994,608175716,Pengembangan
BINA,Bank Ina Perdana Tbk.,2014,6073369498,Utama
BINO,Perma Plasindo Tbk.,2021,2175020012,Pengembangan
BIPI,Astrindo Nusantara Infrastrukt,2010,63710196917,Pengembangan
BIPP,Bhuwanatala Indah Permai Tbk.,1995,5028669376,Pemantauan Khusus
BIRD,Blue Bird Tbk.,2014,2502100000,Utama
BISI,BISI International Tbk.,2007,3000000000,Utama
BJBR,Bank Pembangunan Daerah Jawa B,2010,10416229249,Utama
BJTM,Bank Pembangunan Daerah Jawa T,2012,14865343101,Utama
BKDP,Bukit Darmo Property Tbk,2007,7513992252,Pengembangan
BKSL,Sentul City Tbk.,1997,167708902705,Pemantauan Khusus
BKSW,Bank QNB Indonesia Tbk.,2002,34953681505,Pemantauan Khusus
BLTA,Berlian Laju Tanker Tbk,1990,25940187103,Pemantauan Khusus
BLTZ,Graha Layar Prima Tbk.,2014,873937142,Pengembangan
BLUE,Berkah Prima Perkasa Tbk.,2019,418000000,Pengembangan
BMAS,Bank Maspion Indonesia Tbk.,2013,17921635680,Pengembangan
BMBL,Lavender Bina Cendikia Tbk.,2023,1030080995,Akselerasi
BMHS,Bundamedik Tbk.,2021,8603416176,Utama
BMRI,Bank Mandiri (Persero) Tbk.,2003,92399999996,Utama
BMSR,Bintang Mitra Semestaraya Tbk,1999,1159200024,Utama
BMTR,Global Mediacom Tbk.,1995,16583997586,Utama
BNBA,Bank Bumi Arta Tbk.,2006,3354120000,Utama
BNBR,Bakrie & Brothers Tbk,1989,160057457509,Pengembangan
BNGA,Bank CIMB Niaga Tbk.,1989,24890783784,Utama
BNII,Bank Maybank Indonesia Tbk.,1989,75357433911,Utama
BNLI,Bank Permata Tbk.,1990,35819545925,Utama
BOBA,Formosa Ingredient Factory Tbk,2021,1155750000,Pengembangan
BOGA,Bintang Oto Global Tbk.,2016,3803526210,Pengembangan
BOLA,Bali Bintang Sejahtera Tbk.,2019,6000000000,Utama
BOLT,Garuda Metalindo Tbk.,2015,2343750000,Pengembangan
