Kode,Emiten,Tahun_IPO,Saham_Beredar,Papan_Pencatatan
INAF,Indofarma Tbk.,2001,3099267500,Pemantauan Khusus
INAI,Indal Aluminium Industry Tbk.,1994,633600000,Pengembangan
INCF,Indo Komoditi Korpora Tbk.,2016,1438370465,Pemantauan Khusus
INCI,Intanwijaya Internasional Tbk,1990,207656617,Utama
INCO,Vale Indonesia Tbk.,1990,9936338720,Utama
INDF,Indofood Sukses Makmur Tbk.,1994,8780426500,Utama
INDO,Royalindo Investa Wijaya Tbk.,2020,4382841253,Pengembangan
INDR,Indo-Rama Synthetics Tbk.,1990,654351707,Utama
INDS,Indospring Tbk.,1990,656249710,Utama
INDX,Tanah Laut Tbk,2001,437913588,Pengembangan
INDY,Indika Energy Tbk.,2008,5210192000,Utama
INET,Sinergi Inti Andalan Prima Tbk,2023,7500034794,Pengembangan
INKP,Indah Kiat Pulp & Paper Tbk.,1990,5470982941,Utama
INOV,Inocycle Technology Group Tbk.,2019,1808221900,Utama
INPC,Bank Artha Graha Internasional,1990,20021178779,Utama
INPP,Indonesian Paradise Property T,2004,11181971732,Pemantauan Khusus
INPS,Indah Prakasa Sentosa Tbk.,2018,650000000,Pengembangan
INRU,Toba Pulp Lestari Tbk.,1990,1388883283,Pengembangan
INTA,Intraco Penta Tbk.,1993,3343935022,Pemantauan Khusus
INTD,Inter Delta Tbk,1989,591828000,Pengembangan
INTP,Indocement Tunggal Prakarsa Tb,1989,3681231699,Utama
IOTF,Sumber Sinergi Makmur Tbk.,2023,5280000000,Pengembangan
IPAC,Era Graharealty Tbk.,2021,949868500,Akselerasi
IPCC,Indonesia Kendaraan Terminal T,2018,1818384820,Utama
IPCM,Jasa Armada Indonesia Tbk.,2017,5284811100,Utama
IPOL,Indopoly Swakarsa Industry Tbk,2010,6443379509,Utama
IPPE,Indo Pureco Pratama Tbk.,2021,4600000000,Pemantauan Khusus
IPTV,MNC Vision Networks Tbk.,2019,42197950841,Utama
IRRA,Itama Ranoraya Tbk.,2019,1600000000,Pengembangan
IRSX,Aviana Sinar Abadi Tbk.,2023,5000346993,Pengembangan
ISAP,Isra Presisi Indonesia Tbk.,2022,4020067025,Akselerasi
ISAT,Indosat Tbk.,1994,8062702740,Utama
ISSP,Steel Pipe Industry of Indones,2013,7185992035,Utama
ITIC,Indonesian Tobacco Tbk.,2019,940720000,Pengembangan
ITMA,Sumber Energi Andalan Tbk.,1990,999053167,Pengembangan
ITMG,Indo Tambangraya Megah Tbk.,2007,1129925000,Utama
JARR,Jhonlin Agro Raya Tbk.,2022,9230665050,Utama
JAST,Jasnita Telekomindo Tbk.,2019,1082575681,Pengembangan
JATI,Informasi Teknologi Indonesia ,2023,3262513004,Pengembangan
JAWA,Jaya Agra Wattie Tbk.,2011,16232951842,Utama
JAYA,Armada Berjaya Trans Tbk.,2019,798499394,Pengembangan
JECC,Jembo Cable Company Tbk.,1992,151200000,Pemantauan Khusus
JGLE,Graha Andrasentra Propertindo ,2016,22581909405,Pemantauan Khusus
JIHD,Jakarta International Hotels &,1984,2329040482,Pengembangan
JKON,Jaya Konstruksi Manggala Prata,2007,16308519860,Utama
JKSW,Jakarta Kyoei Steel Works Tbk.,1997,150000000,Pemantauan Khusus
JMAS,Asuransi Jiwa Syariah Jasa Mit,2017,1000000000,Pengembangan
JPFA,Japfa Comfeed Indonesia Tbk.,1989,11726575201,Utama
JRPT,Jaya Real Property Tbk.,1994,13750000000,Utama
JSKY,Sky Energy Indonesia Tbk.,2018,2032540000,Pemantauan Khusus
JSMR,Jasa Marga (Persero) Tbk.,2007,7257871200,Utama
JSPT,Jakarta Setiabudi Internasiona,1998,2318736000,Pengembangan
JTPE,Jasuindo Tiga Perkasa Tbk.,2002,6852050000,Utama
KAEF,Kimia Farma Tbk.,2001,5566529785,Utama
KARW,ICTSI Jasa Prima Tbk.,1994,587152700,Pemantauan Khusus
KAYU,Darmi Bersaudara Tbk.,2019,665000000,Pemantauan Khusus
KBAG,Karya Bersama Anugerah Tbk.,2020,7150002603,Pemantauan Khusus
KBLI,KMI Wire & Cable Tbk.,1992,4007235107,Utama
KBLM,Kabelindo Murni Tbk.,1992,1120000000,Pengembangan
KBLV,First Media Tbk.,2000,1742167907,Pemantauan Khusus
KBRI,Kertas Basuki Rachmat Indonesi,2008,8687995734,Pemantauan Khusus
KDSI,Kedawung Setia Industrial Tbk.,1996,405000000,Pemantauan Khusus
KDTN,Puri Sentul Permai Tbk.,2022,1250018264,Pengembangan
KEEN,Kencana Energi Lestari Tbk.,2019,3666312500,Utama
KEJU,Mulia Boga Raya Tbk.,2019,1500000000,Pengembangan
KETR,Ketrosden Triasmitra Tbk.,2021,2841262838,Utama
KIAS,Keramika Indonesia Assosiasi T,1994,14929100000,Pemantauan Khusus
KICI,Kedaung Indah Can Tbk,1993,276000000,UTAMA
KIJA,Kawasan Industri Jababeka Tbk.,1995,20824888369,Utama
KING,Hoffmen Cleanindo Tbk.,2023,2600006056,Akselerasi
KINO,Kino Indonesia Tbk.,2015,1428571500,Utama
KIOS,Kioson Komersial Indonesia Tbk,2017,1075862550,Pengembangan
KJEN,Krida Jaringan Nusantara Tbk.,2019,500000000,Pengembangan
KKES,Kusuma Kemindo Sentosa Tbk.,2022,1500000000,Pengembangan
KKGI,Resource Alam Indonesia Tbk.,1991,5000000000,Utama
KLAS,Pelayaran Kurnia Lautan Semest,2023,2165000000,Pengembangan
KLBF,Kalbe Farma Tbk.,1991,46875122110,Utama
KLIN,Klinko Karya Imaji Tbk.,2022,1307530330,Akselerasi
KMDS,Kurniamitra Duta Sentosa Tbk.,2020,800000000,Pengembangan
KMTR,Kirana Megatara Tbk.,2017,8215366379,Pengembangan
KOBX,Kobexindo Tractors Tbk.,2012,2272500000,Utama
KOCI,Kokoh Exa Nusantara Tbk.,2023,4415590000,Pengembangan
KOIN,Kokoh Inti Arebama Tbk,2008,980843732,Pemantauan Khusus
KOKA,Koka Indonesia Tbk.,2023,2861333000,Pengembangan
KONI,Perdana Bangun Pusaka Tbk,1995,312000000,Pengembangan
KOPI,Mitra Energi Persada Tbk.,2015,697266668,Pengembangan
KOTA,DMS Propertindo Tbk.,2019,10546185701,Pemantauan Khusus
KPAL,Steadfast Marine Tbk.,2018,1069009400,Pemantauan Khusus
KPAS,Cottonindo Ariesta Tbk.,2018,768043253,Pemantauan Khusus
KPIG,MNC Land Tbk.,2000,97557129263,Pengembangan
KRAH,Grand Kartech Tbk.,2013,971190000,Pemantauan Khusus
KRAS,Krakatau Steel (Persero) Tbk.,2010,19346396900,Pengembangan
KREN,Quantum Clovera Investama Tbk.,2002,18208470100,Pemantauan Khusus
KRYA,Bangun Karya Perkasa Jaya Tbk.,2022,1663943474,Pengembangan
KUAS,Ace Oldfields Tbk.,2021,1292808150,Pengembangan
LABA,Ladangbaja Murni Tbk.,2021,1011347536,Pengembangan
LAJU,Jasa Berdikari Logistics Tbk.,2023,2149942974,Pengembangan
LAND,Trimitra Propertindo Tbk.,2018,2792620000,Pemantauan Khusus
LAPD,Leyand International Tbk.,2001,3966350139,Pemantauan Khusus
LCGP,Eureka Prima Jakarta Tbk.,2007,5630000914,Pemantauan Khusus
LCKM,LCK Global Kedaton Tbk.,2018,1000000000,Pemantauan Khusus
LEAD,Logindo Samudramakmur Tbk.,2013,4049616328,Utama
LFLO,Imago Mulia Persada Tbk.,2021,1307734937,Akselerasi
LIFE,MSIG Life Insurance Indonesia ,2019,2100000000,Pemantauan Khusus
LINK,Link Net Tbk.,2014,2863195484,Utama
LION,Lion Metal Works Tbk.,1993,520160000,Pemantauan Khusus
LIVE,Homeco Victoria Makmur Tbk.,2024,4593005014,Pengembangan
LMAS,Limas Indonesia Makmur Tbk,2001,787851525,Pemantauan Khusus
LMAX,Lupromax Pelumas Indonesia Tbk,2023,650005051,Akselerasi
LMPI,Langgeng Makmur Industri Tbk.,1994,1008517669,Pemantauan Khusus
LMSH,Lionmesh Prima Tbk.,1990,96000000,Pemantauan Khusus
LOPI,Logisticsplus International Tb,2023,1100000000,Akselerasi
LPCK,Lippo Cikarang Tbk,1997,2679600000,Utama
LPGI,Lippo General Insurance Tbk.,1997,300000000,Utama
LPIN,Multi Prima Sejahtera Tbk,1990,425000000,Pengembangan
LPKR,Lippo Karawaci Tbk.,1996,70898018369,Utama
LPLI,Star Pacific Tbk,1989,1170432803,Pengembangan
LPPF,Matahari Department Store Tbk.,1989,2260292880,Utama
LPPS,Lenox Pasifik Investama Tbk.,1994,2588250000,Pengembangan
LRNA,Eka Sari Lorena Transport Tbk.,2014,350000022,Pengembangan
LSIP,PP London Sumatra Indonesia Tb,1996,6822863965,Utama
LTLS,Lautan Luas Tbk.,1997,1560000000,Utama
LUCK,Sentral Mitra Informatika Tbk.,2018,715749640,Pengembangan
LUCY,Lima Dua Lima Tiga Tbk.,2021,1396300283,Akselerasi
MABA,Marga Abhinaya Abadi Tbk.,2017,15365229912,Pemantauan Khusus
MAGP,Multi Agro Gemilang Plantation,2013,9000000004,Pemantauan Khusus
MAHA,Mandiri Herindo Adiperkasa Tbk,2023,16666000000,Utama
MAIN,Malindo Feedmill Tbk.,2006,2238750000,Utama
MAMI,Mas Murni Indonesia Tbk,1994,12299317590,Pemantauan Khusus
MANG,Manggung Polahraya Tbk.,2024,3812500000,Akselerasi
MAPA,Map Aktif Adiperkasa Tbk.,2018,28504000000,Utama
MAPB,MAP Boga Adiperkasa Tbk.,2017,2387922900,Pengembangan
MAPI,Mitra Adiperkasa Tbk.,2004,16600000000,Utama
MARI,Mahaka Radio Integra Tbk.,2016,5252644000,Pengembangan
MARK,Mark Dynamics Indonesia Tbk.,2017,3800000310,Utama
MASA,Multistrada Arah Sarana Tbk.,2005,9182946945,Pemantauan Khusus
MASB,Bank Multiarta Sentosa Tbk.,2021,1387737233,Pengembangan
MAXI,Maxindo Karya Anugerah Tbk.,2023,9610044133,Pengembangan
MAYA,Bank Mayapada Internasional Tb,1997,25906179152,Utama
MBAP,Mitrabara Adiperdana Tbk.,2014,1227271952,Pengembangan
MBMA,Merdeka Battery Materials Tbk.,2023,107995419900,Pengembangan
MBSS,Mitrabahtera Segara Sejati Tbk,2011,1750026639,Utama
MBTO,Martina Berto Tbk.,2011,1070000000,Utama
MCAS,M Cash Integrasi Tbk.,2017,867933300,Utama
MCOL,Prima Andalan Mandiri Tbk.,2021,3555560000,Utama
MCOR,Bank China Construction Bank I,2007,37540533209,Utama
MDIA,Intermedia Capital Tbk.,2014,39215538400,Pemantauan Khusus
MDKA,Merdeka Copper Gold Tbk.,2015,24472983771,Utama
MDKI,Emdeki Utama Tbk.,2017,2530150002,Utama
MDLN,Modernland Realty Tbk.,1993,12533067322,Utama
MDRN,Modern Internasional Tbk.,1991,7632167798,Pemantauan Khusus
MEDC,Medco Energi Internasional Tbk,1994,25136231252,Utama
MEDS,Hetzer Medical Indonesia Tbk.,2022,1562500000,Pengembangan
MEGA,Bank Mega Tbk.,2000,11623514905,Utama
MEJA,Harta Djaya Karya Tbk.,2024,1917500000,Akselerasi
MENN,Menn Teknologi Indonesia Tbk.,2023,1434050603,Akselerasi
MERK,Merck Tbk.,1981,448000000,Pengembangan
META,Nusantara Infrastructure Tbk.,2001,17710708194,Utama
MFIN,Mandala Multifinance Tbk.,2005,2650000000,Utama
MFMI,Multifiling Mitra Indonesia Tb,2010,757581000,Pemantauan Khusus
MGLV,Panca Anugrah Wisesa Tbk.,2021,1904883411,Akselerasi
MGNA,Magna Investama Mandiri Tbk.,2014,3410475412,Pemantauan Khusus
MGRO,Mahkota Group Tbk.,2018,3554445700,Utama
MICE,Multi Indocitra Tbk.,2005,600000000,PENGEMBANGAN
MIDI,Midi Utama Indonesia Tbk.,2010,33435294800,Pengembangan
MIKA,Mitra Keluarga Karyasehat Tbk.,2015,14246349500,Utama
MINA,Sanurhasta Mitra Tbk.,2017,6562500000,Pemantauan Khusus
MIRA,Mitra International Resources ,1997,3961452039,Pemantauan Khusus
MITI,Mitra Investindo Tbk.,1997,3540735503,Pengembangan
MKAP,Multikarya Asia Pasifik Raya T,2024,3250000000,Pengembangan
MKNT,Mitra Komunikasi Nusantara Tbk,2015,5500000000,Pemantauan Khusus
MKPI,Metropolitan Kentjana Tbk.,2009,948194000,Pengembangan
MKTR,Menthobi Karyatama Raya Tbk.,2022,12000123702,Pengembangan
MLBI,Multi Bintang Indonesia Tbk.,1981,2107000000,Utama
MLIA,Mulia Industrindo Tbk,1994,6615000000,Pengembangan
MLPL,Multipolar Tbk.,1989,15682323987,Utama
MLPT,Multipolar Technology Tbk.,2013,1875000000,Utama
MMIX,Multi Medika Internasional Tbk,2022,2400092180,Pengembangan
MMLP,Mega Manunggal Property Tbk.,2015,6889134608,Utama
MNCN,Media Nusantara Citra Tbk.,2007,15049787710,Utama
MOLI,Madusari Murni Indah Tbk.,2018,2724036581,Pengembangan
MORA,Mora Telematika Indonesia Tbk.,2022,23646668691,Utama
MPIX,Mitra Pedagang Indonesia Tbk.,2024,1562500000,Pemantauan Khusus
MPMX,Mitra Pinasthika Mustika Tbk.,2013,4462963276,Utama
MPOW,Megapower Makmur Tbk.,2017,816997053,Pengembangan
MPPA,Matahari Putra Prima Tbk.,1992,12966640084,Utama
MPRO,Maha Properti Indonesia Tbk.,2018,9942500000,Pengembangan
MPXL,MPX Logistics International Tb,2023,2000006424,Pengembangan
MRAT,Mustika Ratu Tbk.,1995,428000000,Utama
MREI,Maskapai Reasuransi Indonesia ,1989,517791681,Pengembangan
MSIE,Multisarana Intan Eduka Tbk.,2023,1460002303,Akselerasi
MSIN,MNC Digital Entertainment Tbk.,2018,12135235641,Utama
MSJA,Multi Spunindo Jaya Tbk.,2024,5882352900,Utama
MSKY,MNC Sky Vision Tbk.,2012,1994370480,Utama
MSTI,Mastersystem Infotama Tbk.,2023,3138823600,Utama
MTDL,Metrodata Electronics Tbk.,1990,12276884585,Utama
MTEL,Dayamitra Telekomunikasi Tbk.,2021,83552719544,Utama
MTFN,Capitalinc Investment Tbk.,1990,31842082852,Pemantauan Khusus
MTLA,Metropolitan Land Tbk.,2011,7655126330,Utama
MTMH,Murni Sadar Tbk.,2022,2068526950,Utama
MTPS,Meta Epsi Tbk.,2019,2084850829,Pemantauan Khusus
MTRA,Mitra Pemuda Tbk.,2016,770000000,Pemantauan Khusus
MTSM,Metro Realty Tbk.,1992,232848000,Pemantauan Khusus
MTWI,Malacca Trust Wuwungan Insuran,2017,2924486639,Pengembangan
MUTU,Mutuagung Lestari Tbk.,2023,3142864924,Pengembangan
MYOH,Samindo Resources Tbk.,2000,2206312500,Utama
MYOR,Mayora Indah Tbk.,1990,22358699725,Utama
MYRX,Hanson International Tbk.,1990,86703220792,Pemantauan Khusus
MYTX,Asia Pacific Investama Tbk.,1989,7747281949,Pemantauan Khusus
NANO,Nanotech Indonesia Global Tbk.,2022,4285215536,Akselerasi
NASA,Andalan Perkasa Abadi Tbk.,2017,11004929322,Pemantauan Khusus
NASI,Wahana Inti Makmur Tbk.,2021,807400000,Pengembangan
NATO,Surya Permata Andalan Tbk.,2019,8001111504,Pengembangan
NAYZ,Hassana Boga Sejahtera Tbk.,2023,2550011472,Akselerasi
NCKL,Trimegah Bangun Persada Tbk.,2023,63098600000,Utama
NELY,Pelayaran Nelly Dwi Putri Tbk.,2012,2350000000,Pengembangan
NETV,Net Visi Media Tbk.,2022,23453177240,Pemantauan Khusus
NFCX,NFC Indonesia Tbk.,2018,666667500,Pengembangan
NICE,Adhi Kartiko Pratama Tbk.,2024,6082020000,Pengembangan
NICK,Charnic Capital Tbk.,2018,651150000,Pengembangan
NICL,PAM Mineral Tbk.,2021,10635644907,Pengembangan
NIKL,Pelat Timah Nusantara Tbk.,2009,2523350000,Pemantauan Khusus
NINE,Techno9 Indonesia Tbk.,2022,2157000000,Akselerasi
NIPS,Nipress Tbk.,1991,1635333332,Pemantauan Khusus
NIRO,City Retail Developments Tbk.,2012,22198871804,Pengembangan
NISP,Bank OCBC NISP Tbk.,1994,22715776032,Utama
NOBU,Bank Nationalnobu Tbk.,2013,7403659460,Utama
NPGF,Nusa Palapa Gemilang Tbk.,2021,3240235840,Utama
NRCA,Nusa Raya Cipta Tbk.,2013,2496258344,Utama
NSSS,Nusantara Sawit Sejahtera Tbk.,2023,23788880029,Pengembangan
NTBK,Nusatama Berkah Tbk.,2022,2700064877,Pengembangan
NUSA,Sinergi Megah Internusa Tbk.,2018,7700000148,Pemantauan Khusus
NZIA,Nusantara Almazia Tbk.,2019,2197540705,Utama
OASA,Maharaksa Biru Energi Tbk.,2016,6347220000,Pengembangan
OBMD,OBM Drilchem Tbk.,2021,805992931,Pengembangan
OCAP,Onix Capital Tbk.,2003,273200000,Pemantauan Khusus
OILS,Indo Oil Perkasa Tbk.,2021,454056563,Pengembangan
OKAS,Ancora Indonesia Resources Tbk,2006,2373449165,Pengembangan
OLIV,Oscar Mitra Sukses Sejahtera T,2022,1900073314,Akselerasi
OMED,Jayamas Medica Industri Tbk.,2022,27058850000,Utama
OMRE,Indonesia Prima Property Tbk,1994,2945211000,Pengembangan
OPMS,Optima Prima Metal Sinergi Tbk,2019,1000000000,Pengembangan
PACK,Solusi Kemasan Digital Tbk.,2023,1537550563,Akselerasi
PADA,Personel Alih Daya Tbk.,2022,3150000000,Pengembangan
PADI,Minna Padi Investama Sekuritas,2012,11307246524,Pemantauan Khusus
PALM,Provident Investasi Bersama Tb,2012,15773797158,Pengembangan
PAMG,Bima Sakti Pertiwi Tbk.,2019,3125000000,Utama
PANI,Pantai Indah Kapuk Dua Tbk.,2018,15627150000,Pengembangan
PANR,Panorama Sentrawisata Tbk.,2001,1387500000,Utama
PANS,Panin Sekuritas Tbk.,2000,720000000,Utama
PBID,Panca Budi Idaman Tbk.,2017,1875000000,Utama
PBRX,Pan Brothers Tbk.,1990,21482028246,Pemantauan Khusus
PBSA,Paramita Bangun Sarana Tbk.,2016,3000000000,Utama
PCAR,Prima Cakrawala Abadi Tbk.,2017,1166666700,Pengembangan
PDES,Destinasi Tirta Nusantara Tbk,2008,715000000,Pengembangan
PDPP,Primadaya Plastisindo Tbk.,2022,3061341438,Pengembangan
PEGE,Panca Global Kapital Tbk.,2005,2833417056,Pengembangan
PEHA,Phapros Tbk.,2018,840000000,Utama
PEVE,Penta Valent Tbk.,2023,1765625000,Pengembangan
PGAS,Perusahaan Gas Negara Tbk.,2003,24241508196,Utama
PGEO,Pertamina Geothermal Energy Tb,2023,41488978343,Utama
PGJO,Tourindo Guide Indonesia Tbk.,2020,772459095,Akselerasi
PGLI,Pembangunan Graha Lestari Inda,2000,488000000,Pengembangan
PGUN,Pradiksi Gunatama Tbk.,2020,5737848882,Pemantauan Khusus
PICO,Pelangi Indah Canindo Tbk,1996,568375000,Pengembangan
PIPA,Multi Makmur Lemindo Tbk.,2023,3425012714,Pengembangan
PJAA,Pembangunan Jaya Ancol Tbk.,2004,1599999996,Utama
PKPK,Perdana Karya Perkasa Tbk,2007,1200000000,Pengembangan
PLAN,Planet Properindo Jaya Tbk.,2020,896709596,Akselerasi
PLAS,Polaris Investama Tbk,2001,1184200000,Pemantauan Khusus
PLIN,Plaza Indonesia Realty Tbk.,1992,3550000000,Pemantauan Khusus
PMJS,Putra Mandiri Jembar Tbk.,2019,13755600000,Pengembangan
PMMP,Panca Mitra Multiperdana Tbk.,2020,2588300000,Utama
PNBN,Bank Pan Indonesia Tbk,1982,23837645998,Utama
PNBS,Bank Panin Dubai Syariah Tbk.,2014,38425504906,Utama
PNGO,Pinago Utama Tbk.,2020,781250000,Pengembangan
PNIN,Paninvest Tbk.,1983,4068323920,Utama
PNLF,Panin Financial Tbk.,1983,32022073293,Utama
PNSE,Pudjiadi & Sons Tbk.,1990,797813496,Pemantauan Khusus
POLA,Pool Advista Finance Tbk.,2018,3351075600,Pemantauan Khusus
POLI,Pollux Hotels Group Tbk.,2019,2010526400,Pengembangan
POLL,Pollux Properties Indonesia Tb,2018,8318823600,Pengembangan
POLU,Golden Flower Tbk.,2019,750000000,Pengembangan
POLY,Asia Pacific Fibers Tbk,1991,2495753334,Pemantauan Khusus
POOL,Pool Advista Indonesia Tbk.,1991,2341366264,Pemantauan Khusus
PORT,Nusantara Pelabuhan Handal Tbk,2017,2813941985,Pengembangan
POSA,Bliss Properti Indonesia Tbk.,2019,8388870206,Pemantauan Khusus
POWR,Cikarang Listrindo Tbk.,2016,16087156000,Utama
PPGL,Prima Globalindo Logistik Tbk.,2020,771178020,Akselerasi
PPRE,PP Presisi Tbk.,2017,10224271000,Utama
PPRI,Paperocks Indonesia Tbk.,2023,1075003273,Pengembangan
PPRO,PP Properti Tbk.,2015,61675671883,Pemantauan Khusus
PRAS,Prima Alloy Steel Universal Tb,1990,701043478,Pemantauan Khusus
PRAY,Famon Awal Bros Sedaya Tbk.,2022,13959422300,Pengembangan
PRDA,Prodia Widyahusada Tbk.,2016,937500000,Utama
PRIM,Royal Prima Tbk.,2018,3393434905,Pengembangan
PSAB,J Resources Asia Pasifik Tbk.,2003,26460000000,Pengembangan
PSDN,Prasidha Aneka Niaga Tbk,1994,1440000000,Pengembangan
PSGO,Palma Serasih Tbk.,2019,18850000000,Utama
PSKT,Red Planet Indonesia Tbk.,1995,10351231636,Pemantauan Khusus
PSSI,IMC Pelita Logistik Tbk.,2017,5417063153,Utama
PTBA,Bukit Asam Tbk.,2002,11520659250,Utama
PTDU,Djasa Ubersakti Tbk.,2020,1500000000,Pemantauan Khusus
PTIS,Indo Straits Tbk.,2011,550165300,Utama
PTMP,Mitra Pack Tbk.,2023,3169200000,Pengembangan
PTPP,PP (Persero) Tbk.,2010,6199897354,Utama
PTPS,Pulau Subur Tbk.,2023,2167500000,Pemantauan Khusus
PTPW,Pratama Widya Tbk.,2020,878187500,Pengembangan
PTRO,Petrosea Tbk.,1990,1008605000,Utama
PTSN,Sat Nusapersada Tbk,2007,5314344000,Utama
PTSP,Pioneerindo Gourmet Internatio,1994,220808000,Pengembangan
PUDP,Pudjiadi Prestige Tbk.,1994,329560000,Pemantauan Khusus
PURA,Putra Rajawali Kencana Tbk.,2020,6301930902,Pemantauan Khusus
PURE,Trinitan Metals and Minerals T,2019,1375181505,Pemantauan Khusus
PURI,Puri Global Sukses Tbk.,2020,1000000000,Pengembangan
PWON,Pakuwon Jati Tbk.,1989,48159602400,Utama
PYFA,Pyridam Farma Tbk,2001,535080000,Pengembangan
PZZA,Sarimelati Kencana Tbk.,2018,3021875000,Utama
RAAM,Tripar Multivision Plus Tbk.,2023,6194200000,Utama
RAFI,Sari Kreasi Boga Tbk.,2022,3128140475,Pengembangan
RAJA,Rukun Raharja Tbk.,2006,4227082500,Utama
RALS,Ramayana Lestari Sentosa Tbk.,1996,7096000000,Utama
RANC,Supra Boga Lestari Tbk.,2012,1564487500,Pengembangan
RBMS,Ristia Bintang Mahkotasejati T,1997,2656212826,Pemantauan Khusus
RCCC,Utama Radar Cahaya Tbk.,2022,750000000,Akselerasi
RDTX,Roda Vivatex Tbk,1990,268800000,Utama
REAL,Repower Asia Indonesia Tbk.,2019,6633610151,Pemantauan Khusus
RELF,Graha Mitra Asia Tbk.,2023,5727802639,Akselerasi
RELI,Reliance Sekuritas Indonesia T,2005,1800000000,Utama
RGAS,Kian Santang Muliatama Tbk.,2023,1459200000,Pengembangan
RICY,Ricky Putra Globalindo Tbk,1998,641717510,Utama
RIGS,Rig Tenders Indonesia Tbk.,1990,609130000,Pengembangan
RIMO,Rimo International Lestari Tbk,2000,45080600000,Pemantauan Khusus
RISE,Jaya Sukses Makmur Sentosa Tbk,2018,10945000000,Pengembangan
RMKE,RMK Energy Tbk.,2021,4375000000,Utama
RMKO,Royaltama Mulia Kontraktorindo,2023,1250000000,Pengembangan
ROCK,Rockfields Properti Indonesia ,2020,1435185100,Pemantauan Khusus
RODA,Pikko Land Development Tbk.,2001,13592128209,Pemantauan Khusus
RONY,Aesler Grup Internasional Tbk.,2020,1250000000,Pengembangan
ROTI,Nippon Indosari Corpindo Tbk.,2010,6186488888,Utama
RSCH,Charlie Hospital Semarang Tbk.,2023,2650000000,Pengembangan
RSGK,Kedoya Adyaraya Tbk.,2021,929675000,Pemantauan Khusus
RUIS,Radiant Utama Interinsco Tbk.,2006,770000000,Pengembangan
RUNS,Global Sukses Solusi Tbk.,2021,983557875,Akselerasi
SAFE,Steady Safe Tbk,1994,615145012,Pemantauan Khusus
SAGE,Saptausaha Gemilangindah Tbk.,2023,8033263239,Pengembangan
SAME,Sarana Meditama Metropolitan T,2013,17147132545,Utama
SAMF,Saraswanti Anugerah Makmur Tbk,2020,5125000000,Utama
SAPX,Satria Antaran Prima Tbk.,2018,833333300,Pengembangan
SATU,Kota Satu Properti Tbk.,2018,1375000000,Pengembangan
SBAT,Sejahtera Bintang Abadi Textil,2020,4752982378,Pemantauan Khusus
SBMA,Surya Biru Murni Acetylene Tbk,2021,929926282,Pengembangan
SCCO,Supreme Cable Manufacturing & ,1982,822333600,Utama
SCMA,Surya Citra Media Tbk.,2002,73970569505,Utama
SCNP,Selaras Citra Nusantara Perkas,2020,2500000000,Pemantauan Khusus
SCPI,Organon Pharma Indonesia Tbk.,1990,3600000,Pemantauan Khusus
SDMU,Sidomulyo Selaras Tbk.,2011,1135225000,Pemantauan Khusus
SDPC,Millennium Pharmacon Internati,1990,1274000000,Utama
SDRA,Bank Woori Saudara Indonesia 1,2006,8482552020,Utama
SEMA,Semacom Integrated Tbk.,2022,1347258842,Pengembangan
SFAN,Surya Fajar Capital Tbk.,2019,1359934021,Pengembangan
SGER,Sumber Global Energy Tbk.,2020,4364335706,Pengembangan
SGRO,Sampoerna Agro Tbk.,2007,1818622000,Utama
SHID,Hotel Sahid Jaya International,1990,1119326168,Pengembangan
SHIP,Sillo Maritime Perdana Tbk.,2016,2719790000,Utama
SICO,Sigma Energy Compressindo Tbk.,2022,910048838,Pengembangan
SIDO,Industri Jamu dan Farmasi Sido,2013,30000000000,Utama
SILO,Siloam International Hospitals,2013,13006125000,Utama
SIMA,Siwani Makmur Tbk,1994,442589871,Pemantauan Khusus
SIMP,Salim Ivomas Pratama Tbk.,2011,15816310000,Utama
SINI,Singaraja Putra Tbk.,2019,481000000,Pemantauan Khusus
SIPD,Sreeya Sewu Indonesia Tbk.,1996,1839102056,Pengembangan
SKBM,Sekar Bumi Tbk.,2012,1730103217,Pemantauan Khusus
SKLT,Sekar Laut Tbk.,1993,6907405000,Pemantauan Khusus
SKRN,Superkrane Mitra Utama Tbk.,2018,7500000000,PENGEMBANGAN
SKYB,Northcliff Citranusa Indonesia,2010,585000000,Pemantauan Khusus
SLIS,Gaya Abadi Sempurna Tbk.,2019,2463335405,Pengembangan
SMAR,Smart Tbk.,1992,2872193366,Pengembangan
SMBR,Semen Baturaja Tbk.,2013,9932534336,Utama
SMCB,Solusi Bangun Indonesia Tbk.,1977,9019381973,Pemantauan Khusus
SMDM,Suryamas Dutamakmur Tbk.,1995,4772138237,Pengembangan
SMDR,Samudera Indonesia  Tbk.,1999,16375600000,Utama
SMGA,Sumber Mineral Global Abadi Tb,2024,8750000000,Pengembangan
SMGR,Semen Indonesia (Persero) Tbk.,1991,6751540089,Utama
SMIL,Sarana Mitra Luas Tbk.,2023,8750029198,Utama
SMKL,Satyamitra Kemas Lestari Tbk.,2019,3418085290,Utama
SMKM,Sumber Mas Konstruksi Tbk.,2022,1253000000,Akselerasi
SMLE,Sinergi Multi Lestarindo Tbk.,2024,2328125000,Pengembangan
SMMA,Sinarmas Multiartha Tbk.,1995,6367664717,Utama
SMMT,Golden Eagle Energy Tbk.,1997,3150000000,Utama
SMRA,Summarecon Agung Tbk.,1990,16508568358,Utama
SMRU,SMR Utama Tbk.,2011,12499385782,Pemantauan Khusus
